pair_id,num_verified_matches,geometry_dim
2147483649,3204,2
2147483650,1759,2
2147483651,795,2
2147483652,1005,2
2147483653,2969,2
2147483654,2880,2
2147483655,308,2
2147483656,28,2
2147483657,0,2
2147483658,0,2
2147483659,0,2
2147483660,0,2
2147483661,0,2
2147483662,0,2
4294967297,4065,2
4294967298,2188,2
4294967299,1582,2
4294967300,2536,2
4294967301,1142,2
4294967302,71,2
4294967303,85,2
4294967304,103,2
4294967305,75,2
4294967306,0,2
4294967307,0,2
4294967308,0,2
4294967309,0,2
6442450945,3774,2
6442450946,2246,2
6442450947,1773,2
6442450948,604,2
6442450949,39,2
6442450950,61,2
6442450951,52,2
6442450952,23,2
6442450953,0,2
6442450954,0,2
6442450955,0,2
6442450956,0,2
8589934593,2340,2
8589934594,1180,2
8589934595,219,2
8589934596,0,2
8589934597,70,2
8589934598,73,2
8589934599,37,2
8589934600,0,2
8589934601,0,2
8589934602,0,2
8589934603,0,2
10737418241,3172,2
10737418242,1309,2
10737418243,71,2
10737418244,0,2
10737418245,0,2
10737418246,0,2
10737418247,0,2
10737418248,0,2
10737418249,0,2
10737418250,0,2
12884901889,4050,2
12884901890,188,2
12884901891,21,2
12884901892,0,2
12884901893,0,2
12884901894,0,2
12884901895,0,2
12884901896,0,2
12884901897,0,2
15032385537,375,2
15032385538,61,2
15032385539,0,2
15032385540,0,2
15032385541,0,2
15032385542,0,2
15032385543,0,2
15032385544,0,2
17179869185,1000,2
17179869186,28,2
17179869187,0,2
17179869188,0,2
17179869189,55,2
17179869190,0,2
17179869191,0,2
19327352833,802,2
19327352834,181,2
19327352835,43,2
19327352836,776,2
19327352837,0,2
19327352838,0,2
21474836481,831,2
21474836482,236,2
21474836483,1418,2
21474836484,0,2
21474836485,0,2
23622320129,884,2
23622320130,532,2
23622320131,0,2
23622320132,0,2
25769803777,297,2
25769803778,0,2
25769803779,47,2
27917287425,0,2
27917287426,0,2
30064771073,515,2
